compound_name,Canonical Smile,Predicted pIC50,standard_value,Bioactivity
"Silane, [[(3alpha,5alpha,20S)-pregnane-3,17,20-triyl]tris(oxy)]tris[trimethyl-",CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.333714,46375.22093814729,inactive
"17-Hydroxy-5beta-pregnane-3,11,20-trione, 3-(bis(carboxymethyl)mercaptole)",CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C)(SCC(=O)O)SCC(=O)O,4.332946,46457.32250790681,inactive
"5beta-Pregnane-3alpha,6alpha,20alpha-triol",CC(C1CCC2C1(CCC3C2CC(C4C3(CCC(C4)O)C)O)C)O,4.754738,17589.85040632128,inactive
"Silane, [[(3alpha,5alpha,11beta,20S)-pregnane-3,11,20,21-tetrayl]tetrakis(oxy)]tetrakis[trimethyl-",CC12CCC(CC1CCC3C2C(CC4(C3CCC4C(CO[Si](C)(C)C)O[Si](C)(C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.23894,57684.64680956648,inactive
"5beta-Pregnane-3,6,20-trione",CC(=O)C1CCC2C1(CCC3C2CC(=O)C4C3(CCC(=O)C4)C)C,4.089139,81444.36007687732,inactive
"5alpha-Pregnane-3,7,20-trione",CC(=O)C1CCC2C1(CCC3C2C(=O)CC4C3(CCC(=O)C4)C)C,4.4313416,37038.92316297164,inactive
"Silane, [[(3beta,5alpha,20S)-pregnane-3,20-diyl]bis(oxy)]bis[tripropyl-",CCC[Si](CCC)(CCC)OC1CCC2(C(C1)CCC3C2CCC4(C3CCC4C(C)O[Si](CCC)(CCC)CCC)C)C,4.3970103,40085.718617981925,inactive
"21-Hydroxy-5beta-pregnane-3,11,20-trione",CC12CCC(=O)CC1CCC3C2C(=O)CC4(C3CCC4C(=O)CO)C,4.152616,70369.42072747265,inactive
"5(alpha)-Pregnane-3(beta),6(alpha)-diol-20-one",CC(=O)C1CCC2C1(CCC3C2CC(C4C3(CCC(C4)O)C)O)C,4.7782574,16662.594673590644,inactive
"21-Chloro-9-fluoro-11-hydroxy-16-methyl-17-(1-oxopropoxy)-pregnane-3,20-dione, (5beta,11beta,16beta)-",CCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4C3(CCC(=O)C4)C)F)O)C)C)C(=O)CCl,4.062065,86683.18804712757,inactive
