compound_name,Canonical Smile,Predicted pIC50,standard_value,Bioactivity
"3alpha,7alpha,12alpha-Trihydroxy-5beta-pregnane-21-oic amide",CC12CCC(CC1CC(C3C2CC(C4(C3CCC4CC(=O)N)C)O)O)O,4.101119,79228.41332158052,inactive
(20R)-20-Amino-5alpha-pregnane-3-one,CC(C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C)N,4.5828986,26127.71217581698,inactive
"11beta-(Trimethylsiloxy)-5beta-pregnane-3,20-dione bis(O-methyl oxime)",CC(=NOC)C1CCC2C1(CC(C3C2CCC4C3(CCC(=NOC)C4)C)O[Si](C)(C)C)C,4.564709,27245.25101253167,inactive
"17-(Acetyloxy)-6alpha-methyl-3,20-bis(methoxyimino)-5beta-pregnane",CC1CC2C(CCC3(C2CCC3(C(=NOC)C)OC(=O)C)C)C4(C1CC(=NOC)CC4)C,4.9903946,10223.636686137806,inactive
3alpha-Hydroxy-3-(methoxymethyl)-21-methyl-5alpha-pregnane-20-one,CCC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)(COC)O)C)C,4.245314,56844.1633457732,inactive
3beta-Hydroxy-7-aza-5alpha-pregnane-20-one,CC(=O)C1CCC2C1(CCC3C2NCC4C3(CCC(C4)O)C)C,4.6014295,25036.322521845734,inactive
"(20S)-18,20-Epoxy-20-methoxy-3beta-(beta-D-glucopyranosyloxy)-5alpha-pregnane",CC12CCC(CC1CCC3C2CCC45C3CCC4C(OC5)(C)OC)OC6C(C(C(C(O6)CO)O)O)O,4.1442823,71732.77946747134,inactive
"(20S)-20-[(11-Hydroxy-3,6,9-trioxaundecane-1-yl)oxycarbonyl]-5alpha-pregnane-3beta-ol",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)C(=O)OCCOCCOCCOCCO,4.472465,33692.63379916309,inactive
"(20R)-3beta-[[4-O-[4-O-(6-Deoxy-3-O-methyl-beta-D-allopyranosyl)-2,6-dideoxy-3-O-methyl-beta-D-allopyranosyl]-2,6-dideoxy-3-O-methyl-beta-D-allopyranosyl]oxy]-5alpha-pregnane-12beta,14beta,20-triol 12,20-dibenzoate",CC1C(C(C(C(O1)OC2C(OC(CC2OC)OC3C(OC(CC3OC)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C(C)OC(=O)C8=CC=CC=C8)O)C)OC(=O)C9=CC=CC=C9)C)C)C)O)OC)O,7.3479342,44.88133369392748,active
20-Oxo-5beta-pregnane-3beta-sulfonic acid,CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)S(=O)(=O)O)C)C,4.896484,12691.591987292417,inactive
"3beta,11-Diacetoxy-9,11-seco-5alpha-pregnane-9,20-dione",CC(=O)C1CCC(C1(C)CCOC(=O)C)C2CCC3CC(CCC3(C2=O)C)OC(=O)C,5.1800804,6605.711255587195,intermediate
"(20S)-4beta-Hydroxy-20-[4-methyl-5-(hydroxymethyl)-6-oxo-3,6-dihydro-2H-pyran-2beta-yl]-3,19:5,6beta-diepoxy-5beta-pregnane-1-one",CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C47COC(C6O)CC7=O)O5)C)CO,5.383651,4133.797709421311,intermediate
(9beta)-3alpha-Hydroxy-11-thia-5beta-pregnane,CCC1CCC2C1(CSC3C2CCC4C3(CCC(C4)O)C)C,4.228272,59119.13060614839,inactive
"(17S,20R)-3beta-(3-O-Methyl-2,6-dideoxy-beta-D-allopyranosyloxy)-5alpha-pregnane-8beta,12beta,14beta,17,20-pentaol 12-trans-cinnamate",CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4(C3CC(C5(C4(CCC5(C(C)O)O)O)C)OC(=O)C=CC6=CC=CC=C6)O)C)OC)O,6.4382586,364.5367791618953,active
"21-Bromo-2beta-ethoxy-3alpha-hydroxy-5alpha-pregnane-11,20-dione",CCOC1CC2(C(CCC3C2C(=O)CC4(C3CCC4C(=O)CBr)C)CC1O)C,4.54654,28409.279303064115,inactive
"(17alpha)-3beta-[4-O-(3-O-Methyl-6-deoxy-beta-D-allopyranosyl)-3-O-methyl-2,6-dideoxy-beta-D-allopyranosyloxy]-11alpha-(2-methyl-3-butenoyloxy)-12beta-(2-methylbutyryloxy)-8beta,14beta-epoxy-5alpha-pregnane-20-one",CCC(C)C(=O)OC1C(C2C3(CCC(CC3CCC24C5(C1(C(CC5)C(=O)C)C)O4)OC6CC(C(C(O6)C)OC7C(C(C(C(O7)C)O)OC)O)OC)C)OC(=O)C(C)C=C,6.2734585,532.7721556579215,active
16a-Hydroxy-pregnane,CCC1C(CC2C1(CCC3C2CCC4C3(CCCC4)C)C)O,4.4610043,34593.59867477048,inactive
Hydroxy-5a-pregnane,CC12CCCCC1CCC3C2CCC4(C3CCC4CCO)C,4.3901377,40725.11577158011,inactive
"(20S)-20-(4-Methoxyphenyl)-5alpha-pregnane-3beta,20-diol",CC12CCC(CC1CCC3C2CCC4(C3CCC4C(C)(C5=CC=C(C=C5)OC)O)C)O,4.307724,49235.23339318437,inactive
"3beta-[3-Methoxy-4-(6-deoxy-beta-D-allopyranosyloxy)-5-hydroxyhexanoyloxy]-11alpha-(isobutyloxy)-12beta-acetoxy-8beta,14beta-epoxy-5alpha-pregnane-20-one",CC1C(C(C(C(O1)OC(C(C)O)C(CC(=O)OC2CCC3(C(C2)CCC45C3C(C(C6(C4(O5)CCC6C(=O)C)C)OC(=O)C)OCC(C)C)C)OC)O)O)O,4.561526,27445.691557978364,inactive
"17,21-Dihydroxy-5alpha-pregnane-3,11,20-trione 21-acetate",CC(=O)OCC(=O)C1(CCC2C1(CC(=O)C3C2CCC4C3(CCC(=O)C4)C)C)O,3.9741013,106144.7931364248,inactive
"17-Azido-3beta,16alpha-dihydroxy-5alpha-pregnane-11,20-dione",CC(=O)C1(C(CC2C1(CC(=O)C3C2CCC4C3(CCC(C4)O)C)C)O)N=[N+]=[N-],4.5039663,31335.286405410367,inactive
Pregnane derivative from Stizophyllum Riparium,CC(=O)C1=CCC2C1(C(CC3C2=CCC4=CC(C(CC34C)O)O)O)C,4.4661613,34185.24910636805,inactive
"3alpha,20alpha,21-Trihydroxy-5beta-pregnane-11-one",CC12CCC(CC1CCC3C2C(=O)CC4(C3CCC4C(CO)O)C)O,4.5235906,29950.869528572683,inactive
"5-beta-Pregnane-3,6,20-trione",CC(=O)C1CCC2C1(CCC3C2CC(=O)C4C3(CCC(=O)C4)C)C,4.089139,81444.36007687732,inactive
D-Homo-5alpha-pregnane,CCC1CCCC2C1(CCC3C2CCC4C3(CCCC4)C)C,4.0998845,79453.94949136877,inactive
"5beta-Pregnane-3,20-dione, 17,21-dihydroxy-, cyclic 1-butaneboronate",B1(OCC(=O)C2(O1)CCC3C2(CCC4C3CCC5C4(CCC(=O)C5)C)C)CCCC,4.044746,90209.87435072886,inactive
"Pregnane-3,17,20-triol, cyclic 17,20-[(1,1-dimethylethyl)boronate], (3alpha,5beta,17alpha,20S)-",B1(OC(C2(O1)CC3C4CCC5CC(CCC5(C4CCC3(C2)C)C)O)C)C(C)(C)C,6.8059964,156.3160535319367,active
"12alpha-Hydroxy-5alpha-pregnane, dimethyl(isopropyl)silyl ether",CCC1CCC2C1(C(CC3C2CCC4C3(CCCC4)C)O[Si](C)(C)C(C)C)C,4.1985164,63311.64986528126,inactive
"5beta-Pregnane-3alpha,17alpha,20alpha-triol, (3-O)-TMTBSi, (17,20-O)-diTMSi",CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C(C)(C)C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.4155874,38407.193616551456,inactive
"5beta-Pregnane-3alpha,20alpha-diol, (20-O)-TBDMSi",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O[Si](C)(C)C(C)(C)C,4.659784,21888.508016578307,inactive
"5beta-Pregnane-3alpha,20alpha-diol, diTMSi",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C)O[Si](C)(C)C,4.4578996,34841.78765011439,inactive
"5-alpha-Pregnane-17-alpha,20-beta,21-triol, methylboronate, TMS",B1(OCC(O1)C2(CCC3C2(CCC4C3CCC5C4(CCCC5)C)C)O[Si](C)(C)C)C,3.5454493,284807.05501874594,inactive
"5-alpha-Pregnane-17-alpha,20-beta,21-triol, triacetate",CC(=O)OCC(C1(CCC2C1(CCC3C2CCC4C3(CCCC4)C)C)OC(=O)C)OC(=O)C,5.0516224,8879.277096115227,intermediate
"5-alpha-Pregnane-17-alpha,20-beta-diol, bis-TMS",CC(C1(CCC2C1(CCC3C2CCC4C3(CCCC4)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.4819326,32966.083925391154,inactive
"5-alpha-Pregnane-17-alpha,20-beta-diol, methylboronate",B1(OC(C2(O1)CCC3C2(CCC4C3CCC5C4(CCCC5)C)C)C)C,4.8706703,13468.824107357246,inactive
"5-alpha-Pregnane-20-beta,21-diol",CC12CCCCC1CCC3C2CCC4(C3CCC4C(CO)O)C,4.671809,21290.742309007164,inactive
"5-alpha-Pregnane-3-beta,17-alpha,20-alpha-triol, methylboronate, TMS",B1(OC(C2(O1)CCC3C2(CCC4C3CCC5C4(CCC(C5)O[Si](C)(C)C)C)C)C)C,4.7224517,18947.342825716765,inactive
"5-alpha-Pregnane-3-beta,17-alpha,20-alpha-triol, tris-TMS",CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.333714,46375.22093814729,inactive
"5-alpha-Pregnane-3-beta,17-alpha,20-beta-triol, methylboronate, TMS",B1(OC(C2(O1)CCC3C2(CCC4C3CCC5C4(CCC(C5)O[Si](C)(C)C)C)C)C)C,4.7224517,18947.342825716765,inactive
"5-alpha-Pregnane-3-beta,17-alpha,20-beta-triol, tris-TMS",CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.333714,46375.22093814729,inactive
"3alpha,11beta,21-Trihydroxy-5alpha-pregnane-20-one",C1CC2C3CCC(C3CC(C2C4C1CC(CC4)O)O)C(=O)CO,4.349656,44703.74374715194,inactive
"3alpha,17alpha,21-Trihydroxy-5beta-pregnane-20-one",C1CC2C(CCC3C2CCC3(C(=O)CO)O)C4C1CC(CC4)O,4.315657,48344.0311613184,inactive
"5beta-Pregnane-3beta, 16alpha, 20beta-triol, MO TMS",CC(C1C(CC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C)O[Si](C)(C)C)O[Si](C)(C)C,4.319501,47918.04343387152,inactive
"5alpha-Pregnane-3alpha,20alpha,21-triol, TMS",CC12CCC(CC1CCC3C2CCC4(C3CCC4C(CO[Si](C)(C)C)O[Si](C)(C)C)C)O[Si](C)(C)C,4.4330363,36894.67360499269,inactive
"5alpha-Pregnane-3beta,20alpha-diol, TMS",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C)O[Si](C)(C)C,4.4578996,34841.78765011439,inactive
"Pregnane-3,20-dione, 5,6-dihydroxy-6,17-dimethyl-, (5alpha,6beta)-",CC(=O)C1(CCC2C1(CCC3C2CC(C4(C3(CCC(=O)C4)C)O)(C)O)C)C,3.559147,275964.4369429456,inactive
"5alpha-Pregnane-3beta, 16alpha-diol-20-one, MO TMS",CC(=NOC)C1C(CC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)C)C)O[Si](C)(C)C,4.114837,76764.92507170976,inactive
"(5alpha)-Pregnane-3,20-dione",CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C,4.2545137,55652.70261538394,inactive
"3beta-[(6-Deoxy-alpha-L-mannopyranosyl)oxy]-21-nor-5beta-pregnane-1beta,5,11alpha,14beta,19,20-hexol",CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)CO)O)CO)O)O)O)O,4.5103745,30876.314360030126,inactive
"(14beta)-1beta,11alpha,19-Triacetoxy-3beta-(2-O,3-O,4-O-trisacetyl-alpha-L-rhamnopyranosyloxy)-5,14,21-trihydroxy-5beta-pregnane-20-one",CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4OC(=O)C)C)C(=O)CO)O)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,5.3859158,4112.294830296969,intermediate
3alpha-Amino-14beta-hydroxy-5alpha-pregnane-20-one,CC(=O)C1CCC2(C1(CCC3C2CCC4C3(CCC(C4)N)C)C)O,4.4126954,38663.80503118829,inactive
"(3beta,5alpha)-21-(Acetyloxy)-3-{[(4-methylphenyl)sulfonyl]oxy}pregnane-11,20-dione",CC1=CC=C(C=C1)S(=O)(=O)OC2CCC3(C(C2)CCC4C3C(=O)CC5(C4CCC5C(=O)COC(=O)C)C)C,5.045697,9001.249250787312,intermediate
"21,21,21-Trifluoro-3alpha-hydroxy-17a-aza-D-homo-5beta-pregnane-20-one",CC12CCC(CC1CCC3C2CCC4(C3CCCN4C(=O)C(F)(F)F)C)O,4.3788705,41795.4988181356,inactive
"17-Acetoxy-4alpha,5-epoxy-5alpha-pregnane-3,20-dione",CC(=O)C1(CCC2C1(CCC3C2CCC45C3(CCC(=O)C4O5)C)C)OC(=O)C,4.5036974,31354.696740249463,inactive
"(2beta,3alpha,5alpha)-21-(Acetylthio)-3-hydroxy-2-(2,2-dimethyl-4-morpholinyl)pregnane-11,20-dione",CC(=O)SCC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CC(C(C4)O)N5CCOC(C5)(C)C)C)C,4.4641423,34344.53790533037,inactive
"3beta-(alpha-L-Rhamnopyranosyloxy)-5beta-pregnane-14beta,21-diol",CC1C(C(C(C(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CCC5CCO)O)C)C)O)O)O,4.7086396,19559.61842861783,inactive
"(2beta,3alpha,5alpha)-3,21-Dihydroxy-2-(2,2-dimethyl-4-morpholinyl)pregnane-11,20-dione",CC1(CN(CCO1)C2CC3(C(CCC4C3C(=O)CC5(C4CCC5C(=O)CO)C)CC2O)C)C,3.8841817,130562.44130952554,inactive
"3-Methyl-3alpha,21-dihydroxy-17a-aza-D-homo-5alpha-pregnane-20-one",CC1(CCC2(C(C1)CCC3C2CCC4(C3CCCN4C(=O)CO)C)C)O,4.204523,62442.015600892126,inactive
3beta-Acetoxy-21-nitro-5beta-pregnane-14beta-ol,CC(=O)OC1CCC2(C(C1)CCC3C2CCC4(C3(CCC4CC[N+](=O)[O-])O)C)C,4.440358,36277.8748346812,inactive
"(17alpha)-3beta-[3-O-Methyl-4-O-[3-O-methyl-4-O-[4-O-(3-O-methyl-2,6-dideoxy-beta-D-arabino-hexopyranosyl)-2,6-dideoxy-beta-D-ribo-hexopyranosyl]-2,6-dideoxy-beta-D-ribo-hexopyranosyl]-2,6-dideoxy-beta-D-ribo-hexopyranosyloxy]-8,14beta-dihydroxy-12beta-(3-phenylacryloyloxy)-5alpha-pregnane-20-one",CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3OC)OC4C(OC(CC4OC)OC5CCC6(C(C5)CCC7(C6CC(C8(C7(CCC8C(=O)C)O)C)OC(=O)C=CC9=CC=CC=C9)O)C)C)C)C)OC)O,6.7916994,161.54762980418698,active
"[[(2R)-2-Carboxy-2-[2-[(pregnane-3alpha-yl)amino]ethoxy]ethyl]oxy]phosphonyl 2-O-[2-(acetylamino)-4-O-[2-(acetylamino)-4-O-[6-oxo-6-amino-beta-D-fucopyranosyl]-2,6-dideoxy-beta-D-glucopyranosyl]-6-O-beta-D-glucopyranosyl-2-deoxy-beta-D-glucopyranosyl]-3-O-carbamoyl-4-C-methyl-alpha-D-glucopyranosiduronamide",CCC1CCC2C1(CCC3C2CCC4C3(CCC(C4)NCCOC(COP(=O)(O)OC5C(C(C(C(O5)C(=O)N)(C)O)OC(=O)N)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(C(O8)C)OC9C(C(C(C(O9)C(=O)N)O)O)O)O)NC(=O)C)O)NC(=O)C)C(=O)O)C)C,6.464238,343.36959259822095,active
3alpha-Hydroxy-6-oxa-5alpha-pregnane-20-one,CC(=O)C1CCC2C1(CCC3C2COC4C3(CCC(C4)O)C)C,5.0561595,8786.99751725923,intermediate
3alpha-Hydroxy-17a-aza-D-homo-5beta-pregnane-20-one,CC(=O)N1CCCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,4.124545,75068.00990845039,inactive
"(20S)-3beta,12beta-Diacetoxy-16beta-hydroxy-20-methyl-5alpha-pregnane-21-oic acid lactone",CC1C2C(CC3C2(C(CC4C3CCC5C4(CCC(C5)OC(=O)C)C)OC(=O)C)C)OC1=O,5.528974,2958.1891767088728,intermediate
"3alpha,7alpha,12beta-Tris(methoxymethoxy)-5beta-pregnane-20-one",CC(=O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)OCOC)C)OCOC)OCOC)C,4.051583,88800.8630616973,inactive
(20S)-3beta-Acetoxy-16beta-hydroxy-5beta-pregnane-20-carboxylic acid lactone,CC1C2C(CC3C2(CCC4C3CCC5C4(CCC(C5)OC(=O)C)C)C)OC1=O,5.478399,3323.5422198426586,intermediate
3beta-(tert-Butyldimethylsiloxy)-5alpha-pregnane-20-one,CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C(C)(C)C)C)C,4.683303,20734.66965958938,inactive
"3alpha-(Methoxymethoxy)-7alpha,12beta-dihydroxy-5beta-pregnane-20-one ethylene acetal",CC12CCC(CC1CC(C3C2CC(C4(C3CCC4C5(OCCO5)C)C)O)O)OCOC,3.8349059,146249.4148716829,inactive
3alpha-Hydroxy-6-aza-5alpha-pregnane-20-one,CC(=O)C1CCC2C1(CCC3C2CNC4C3(CCC(C4)O)C)C,4.4476576,35673.22843443334,inactive
"(17S)-3beta-[4-O-[3-O-Methyl-4-O-[3-O-methyl-4-O-(3-O-methyl-4-O-beta-D-glucopyranosyl-6-deoxy-beta-D-glucopyranosyl)-2,6-dideoxy-beta-D-arabino-hexopyranosyl]-2,6-dideoxy-beta-D-ribo-hexopyranosyl]-2,6-dideoxy-beta-D-ribo-hexopyranosyloxy]-5alpha-pregnane-8,12beta,14beta,17,20-pentol",CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4(C3CC(C5(C4(CCC5(C(C)O)O)O)C)O)O)C)O)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)OC8C(C(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)OC)O)OC)OC,5.255756,5549.375323675738,intermediate
"(17R)-21-(Trimethylsilyl)-17,21-(epoxymethano)spiro[pregnane-3,2'-[1,3]dioxolane]-5,20-diene-22-one",CC12CCC3(CC1=CCC4C2CCC5(C4CCC56C=C(C(=O)O6)[Si](C)(C)C)C)OCCO3,3.794431,160534.7399458747,inactive
"Acetic acid 5-fluoro-6beta,19-[2,2-dioxo-1-aza-2-thia(VI)-3-oxapropane-1,3-diyl]-20-oxo-5alpha-pregnane-3beta-yl ester",CC(=O)C1CCC2C1(CCC3C2CC4C5(C3(CCC(C5)OC(=O)C)COS(=O)(=O)N4)F)C,5.017305,9609.37413486033,intermediate
"17-Hydroxy-3-oxo-19-nor-5beta,17alpha-pregnane-21-carboxylic acid, gamma-lactone",CC12CCC3C(C1CCC24CCC(=O)O4)CCC5C3CCC(=O)C5,3.4918144,322244.58268252364,inactive
"6-Aza-5alpha-pregnane-7,20-dione",CC(=O)C1CCC2C1(CCC3C2C(=O)NC4C3(CCCC4)C)C,7.152874,70.3276340305901,active
"(20R)-6-Aza-5alpha-pregnane-3beta,20-diol",CC(C1CCC2C1(CCC3C2CNC4C3(CCC(C4)O)C)C)O,4.4241385,37658.36443905935,inactive
"6-Aza-5alpha-pregnane-3,20-dione",CC(=O)C1CCC2C1(CCC3C2CNC4C3(CCC(=O)C4)C)C,4.100742,79297.2518891251,inactive
(20S)-20-(Dimethylamino)-5alpha-pregnane-3-one,CC(C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C)N(C)C,4.122728,75382.77644918172,inactive
"3beta,16beta-Dihydroxy-5alpha-pregnane-20-one",CC(=O)C1C(CC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,4.3733096,42334.105496299504,inactive
"3beta,11beta,21-Trihydroxy-5beta-pregnane-18,20-dione",CC12CCC(CC1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O)O,4.613358,24358.019803089413,inactive
"3alpha,11beta,17-Trihydroxy-20-oxo-5alpha-pregnane-21-yl beta-D-glucopyranosiduronic acid",CC12CCC(CC1CCC3C2C(CC4(C3CCC4(C(=O)COC5C(C(C(C(O5)C(=O)O)O)O)O)O)C)O)O,4.1388493,72635.80291503323,inactive
"3alpha-Hydroxy-B-nor-5alpha-pregnane-6,20-dione",CC(=O)C1CCC2C1(CCC3C2C(=O)C4C3(CCC(C4)O)C)C,4.680145,20885.997090319383,inactive
"3alpha-Hydroxy-5beta,6beta-epoxy-B-nor-5beta-pregnane-20-one",CC(=O)C1CCC2C1(CCC3C2C4C5(C3(CCC(C5)O)C)O4)C,4.4126954,38663.80503118829,inactive
"3alpha,5-Cyclo-B-nor-5alpha-pregnane-6,20-dione",CC(=O)C1CCC2C1(CCC3C2C(=O)C45C3(CCC4C5)C)C,4.4337344,36835.41634979124,inactive
(20S)-3beta-[(3R)-2-Oxo-3-isopropylazetidine-1-yl]-16alpha-hydroxy-20-(dimethylamino)-5alpha-pregnane-4-one,CC(C)C1CN(C1=O)C2CCC3(C4CCC5(C(C4CCC3C2=O)CC(C5C(C)N(C)C)O)C)C,4.477763,33284.10045102699,inactive
"(17R)-3beta,17-Dihydroxy-5alpha-pregnane-21-oic acid",CC12CCC(CC1CCC3C2CCC4(C3CCC4(CC(=O)O)O)C)O,4.144212,71744.43683370168,inactive
"(20R)-6beta-Methoxy-18-acetoxy-3alpha,5-cyclo-5alpha-pregnane-20-ol",CC(C1CCC2C1(CCC3C2CC(C45C3(CCC4C5)C)OC)COC(=O)C)O,4.02209,95040.7909203248,inactive
"(20S)-5alpha-Pregnane-3beta,16beta,20-triol",CC(C1C(CC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O)O,4.630203,23431.345603996862,inactive
"Pregnane-3,20-dione dioxime",CC(=NO)C1CCC2C1(CCC3C2CCC4C3(CCC(=NO)C4)C)C,4.893075,12791.604133700996,inactive
"21-Acetyloxy-6beta-fluoro-5,17-dihydroxy-16alpha-methyl-5alpha-pregnane-3,20-dione",CC1CC2C3CC(C4(CC(=O)CCC4(C3CCC2(C1(C(=O)COC(=O)C)O)C)C)O)F,3.6732914,212182.00807332987,inactive
"21-Acetoxy-11alpha,17-dihydroxy-16alpha-methyl-5alpha-pregnane-3,20-dione",CC1CC2C3CCC4CC(=O)CCC4(C3C(CC2(C1(C(=O)COC(=O)C)O)C)O)C,3.7218046,189755.9406572744,inactive
"Pregnane-3,6,20-trione",CC(=O)C1CCC2C1(CCC3C2CC(=O)C4C3(CCC(=O)C4)C)C,4.089139,81444.36007687732,inactive
"Pregnane-20-one, 3,19-bis[(trimethylsilyl)oxy]-, (3alpha,5alpha)-",CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O[Si](C)(C)C)CO[Si](C)(C)C)C,4.6014295,25036.322521845734,inactive
"3alpha-Hydroxy-2beta-(4'-iodoacetoxy-n-butoxy)-5alpha-pregnane-11,20-dione",CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CC(C(C4)O)OCCCCOC(=O)CI)C)C,4.407333,39144.17125749098,inactive
"3alpha-Hydroxy-2beta-(4'-morpholinoacetoxy-n-butoxy)-5alpha-pregnane-11,20-dione",CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CC(C(C4)O)OCCCCOC(=O)CN5CCOCC5)C)C,4.4143534,38516.483459006246,inactive
"21-Methoxy-3alpha-(p-toluene sulphonyloxy)-5alpha-pregnane-11,20-dione",CC1=CC=C(C=C1)S(=O)(=O)OC2CCC3(C(C2)CCC4C3C(=O)CC5(C4CCC5C(=O)COC)C)C,4.873926,13368.227793183054,inactive
"21,21-Dimethyl-3alpha-hydroxy-5alpha-pregnane-11,20-dione",CC(C)C(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CCC(C4)O)C)C,4.812715,15391.641753667194,inactive
"(20S)-3beta-(alpha-L-Rhamnopyranosyloxy)-5beta-pregnane-14beta,20-diol",CC1C(C(C(C(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CCC5C(C)O)O)C)C)O)O)O,5.044631,9023.37477554375,intermediate
3beta-Hydroxy-5alpha-pregnane-20-oneoxime,CC(=NO)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,4.5104027,30874.314271686904,inactive
"2beta-[(2R)-2-Benzylmorpholino]-3alpha-hydroxy-5alpha-pregnane-11,20-dione",CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CC(C(C4)O)N5CCOC(C5)CC6=CC=CC=C6)C)C,6.53937,288.8217798865491,active
3beta-Acetoxy-16beta-(trichlorogermyl)-5alpha-pregnane-20-one,CC(=O)C1C(CC2C1(CCC3C2CCC4C3(CCC(C4)OC(=O)C)C)C)[Ge](Cl)(Cl)Cl,4.7985487,15901.98361275768,inactive
"(3alpha)-Pregnane-3,20-diol",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,4.5779104,26429.53831538944,inactive
"(20S)-N-(4-Pentenyl)-N,N',N'-trimethyl-5alpha-pregnane-3beta,20-diamine",CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)N(C)CCCC=C)C)C)N(C)C,4.4578996,34841.78765011439,inactive
"(20S)-N-Pentyl-N,N',N'-trimethyl-5alpha-pregnane-3beta,20-diamine",CCCCCN(C)C1CCC2(C(C1)CCC3C2CCC4(C3CCC4C(C)N(C)C)C)C,3.953767,111232.8177132877,inactive
"(5alpha)-Pregnane-3,17,20-triol",CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O)O,4.3891764,40815.35998743012,inactive
"[(17S,20S)-8beta,14beta,18-[1,1,1-Ethanetriyltris(oxy)]-12beta-acetoxy-17-hydroxy-20-(benzoyloxy)-5alpha-pregnane-3beta-yl]3-O-methyl-4-O-[3-O-methyl-4-O-(3-O-methyl-6-deoxy-beta-D-glucopyranosyl)-2,6-dideoxy-beta-D-glucopyranosyl]-2,6-dideoxy-beta-D-altropyranoside",CC1C(C(C(C(O1)OC2C(OC(CC2OC)OC3C(OC(CC3OC)OC4CCC5(C(C4)CCC67C5CC(C89C6(CCC8(C(C)OC(=O)C1=CC=CC=C1)O)OC(O7)(OC9)C)OC(=O)C)C)C)C)O)OC)O,6.298162,503.3128477612673,active
"(20S)-3beta,6alpha-Bis(tert-butyldimethylsiloxy)-15beta-(methoxymethoxy)-5alpha-pregnane-20-carbaldehyde",CC(C=O)C1CC(C2C1(CCC3C2CC(C4C3(CCC(C4)O[Si](C)(C)C(C)(C)C)C)O[Si](C)(C)C(C)(C)C)C)OCOC,4.543454,28611.842767526417,inactive
"20-Oxo-5alpha-pregnane-3alpha,7alpha-diol 3-(4-oxo-4-hydroxybutyrate)7-acetate",CC(=O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)OC(=O)CCC(=O)O)C)OC(=O)C)C,5.2729883,5333.492400331552,intermediate
