canonical_smiles,standard_value,pIC50
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(OCC(Cl)(Cl)Cl)O1,2.0,8.7
CC(C)c1cc(C(C)(C)C)cc(-c2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC(=O)[O-].[Na+],400.0,6.4
Cc1cc(F)ccc1C(=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c1nnnn1C)c1ccc(F)cc1C,29.0,7.54
COc1ccc(C(c2ccc(F)cc2)c2cc(C)cc(C)c2OCC(O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],100.0,7.0
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1cccc2ccccc12,4400.0,5.36
COc1ccc(COc2cc(Cl)cc(Cl)c2\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)cc1,2600.0,5.59
CCCCCCCCCCC(O)(CC(=O)O)CC(=O)O,100000.0,4.0
Cc1c(CCC(O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1-c1ccccc1.[Na+],35.0,7.46
CC(C)c1c(C(=O)OCc2ccccc2)c(c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccc1,40.0,7.4
CC(C)c1nn(-c2ccccc2)c(-c2ccc(F)cc2)c1CCC1CC(=O)CC(=O)O1,10000.0,5.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2ccc(F)cc2F)O1,200.0,6.7
Cc1cccc(-c2cc(Cl)cc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c1,16.0,7.8
CC(C)c1sc(c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1)-c1ccc(C)cc1,9.7,8.01
O=C1C[C@H](O)C[C@@H](/C=C/c2cccc3cccc(Br)c23)O1,4120.0,5.39
Cc1ccc(-c2cc(Cl)cc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)cc1,190.0,6.72
CC(C)c1sc(C=C(C)C)c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1,15.0,7.82
C[C@@H]1C[C@H](OCC(C)=C)[C@@H]2[C@@H](CCC3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1,360.0,6.44
Cc1cc(F)ccc1-c1c(-c2ccc(F)cc2)nc(C(C)C)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],4.0,8.4
CC(C)c1c(C(=O)N(C)Cc2ccc(F)cc2)nn(-c2ccc(F)cc2)c1OC[C@@H](O)C[C@@H](O)CC(=O)O,18.0,7.74
CC(C)c1c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(cn1-c1ccccc1)-c1ccc(F)cc1,7.0,8.15
COc1ccc(cc1)-c1cc(nc(C(C)C)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccc1,150.0,6.82
C[C@H]1C=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@H]2[C@@H](OCc2ccccc2)C1,27.0,7.57
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,1.0,9.0
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)[C@@H](OC(=O)NCc2ccccc2)[C@@H]2CC[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12,5.0,8.3
OC(COc1c(Cl)cc(Cl)cc1C(F)(F)C1CCCCC1)C[C@@H](O)CC([O-])=O,85.0,7.07
CSCOc1cc(Cl)cc(Cl)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,760.0,6.12
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,13.0,7.89
CC(C)OC1C[C@@H](C[C@@H](CCn2c(C(C)C)c(C(=O)Nc3ccccc3)c(c2-c2ccc(F)cc2)-c2ccccc2)O1)OCc1ccccc1,4.0,8.4
OC(COc1c(Cl)cc(Cl)cc1C(CCOc1ccc(F)cc1)c1ccc(F)cc1)C[C@@H](O)CC([O-])=O,150.0,6.82
Cc1c(nc(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C(=O)NCc1ccccc1,94.0,7.03
Cn1nnnc1C(CCC(O)CC(O)CC([O-])=O)Cc1ccc(F)cc1,250000.0,3.6
O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,4.1,8.39
CCOC(=O)c1c(CC)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c(c1-c1ccccc1)-c1ccccc1,890.0,6.05
CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N(C)Cc1ccc(C)cc1)-c1ccc(F)cc1,9.9,8.0
CCCCCCCCCC(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12,295.0,6.53
CC(C)c1cc(-c2ccccc2)cc(CC2CCCCC2)c1OCC(O)C[C@@H](O)CC(=O)[O-].[Na+],400.0,6.4
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cnc2c(F)c(F)c(F)cc2c1Sc1ccccc1,10700.0,4.97
COc1ccc(C(=C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c2nnnn2C)c2ccc(OC)cc2)cc1.[Na+],1400.0,5.85
COc1cccc(-c2ccc(C)n2CC[C@@H]2C[C@@H](O)CC(=O)O2)c1,2500.0,5.6
Cc1cc(C)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(/C=C/c2ccc(Cl)cc2)c1,630.0,6.2
Cc1cc(ccc1F)C(c1ccc(F)c(C)c1)c1cc(Cl)cc(Cl)c1OCC(O)C[C@@H](O)CC([O-])=O,1000.0,6.0
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(-c2ccc(F)cc2)nc(C(=O)NCc2ccc(F)cc2F)c1C1CC1.[Na+],1.2,8.92
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+],4.2,8.38
OC(COc1c(Cl)cc(Cl)cc1-c1ccccc1)C[C@@H](O)CC([O-])=O,190.0,6.72
CC(C)c1nn(-c2cnccn2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],6.6,8.18
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](OCc2ccccc2)CC(OC(C)(C)C)O1,3.0,8.52
CC(C)c1c(C(=O)N2CCC[C@H](c3ccccc3)C2)nn(-c2ccc(F)cc2)c1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],2.0,8.7
CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)N(C)Cc1ccccc1)-c1ccc(F)cc1,5.2,8.28
CC(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C21,269.0,6.57
C[C@H]1C=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@H]2[C@@H](OCc2ccc(F)cc2)C1,4.7,8.33
Cn1nnnc1C(/C=C/C(O)CC(O)CC(=O)[O-])=C1c2ccc(F)cc2-c2cc(F)ccc21.[Na+],4100.0,5.39
CCCCCCCCCCCCCCCC(O)(CC(=O)O)CC(=O)O,50000.0,4.3
CC(C)c1c(Br)c(Br)c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,28.0,7.55
CC(C)c1nc(c(-c2cc(C)cc(C)c2)n1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1,56.0,7.25
CC(C)c1c(C(=O)N(Cc2ccccc2)C(C)C)nn(-c2ccc(F)cc2)c1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],9.8,8.01
O[C@H](C[C@H](O)\C=C\C(=C(c1ccc(F)cc1)c1ccc(F)cc1)n1cnnn1)CC([O-])=O,20.0,7.7
CC(C)c1nc(cc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)-c1cc(C)ccc1C,5.0,8.3
COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,2.8,8.55
CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)N(C)Cc1cccc(c1)C(F)(F)F)-c1ccc(F)cc1,31.0,7.51
O[C@@H]1CC(CCc2c(Cl)cc(Cl)cc2OCc2cccc(F)c2)OC(=O)C1,210.0,6.68
CCC(CC)(c1ccccc1)c1ccc(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1)-c1ccccc1F,820.0,6.09
O[C@H](CCn1c(nc(c1-c1ccccc1)-c1ccc(F)cc1)C(F)(F)F)C[C@@H](O)CC([O-])=O,201.0,6.7
CC(CC(O)=O)CC(=O)c1ccc2CCc3ccccc3-c2c1,30000.0,4.52
Cn1nnnc1C(=C\c1ccc(F)cc1)/C=C/C(O)CC(O)CC(=O)[O-].[Na+],210000.0,3.68
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cnc2c(Sc3ccc(F)cc3)c(Sc3ccc(F)cc3)c(F)cc2c1Sc1ccc(F)cc1,11900.0,4.92
CC(CC(=O)O)CC(=O)c1ccc(-c2ccccc2)cc1,70000.0,4.15
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],7.5,8.12
[Na+].C[C@H](CC(O)CC(O)CC([O-])=O)[C@H]1CC[C@H]2[C@@H]3[C@@H](C[C@@H]4C[C@@H](CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)OC(C)=O)OC(C)=O,39200.0,4.41
Cc1ccc(S(=O)(=O)n2nc(C(C)C)c(CC[C@H]3C[C@H](O)CC(=O)O3)c2-c2ccc(F)cc2)cc1,660.0,6.18
CC(C)n1cc(c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c1C)-c1ccc(F)cc1,100.0,7.0
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CCC(O)C[C@H](O)CC([O-])=O)[C@@]12C,5.0,8.3
CC(C)c1nc(c(-c2cc(Cl)cc(Cl)c2)n1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1,22.0,7.66
CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N(C)Cc1cccc(F)c1F)-c1ccc(F)cc1,9.0,8.05
CNc1cccc(-c2nc(C(C)C)n(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)c1.[Na+],3.0,8.52
CC(CCc1ccc2oc3ccccc3c2c1)CC(=O)O,360000.0,3.44
CC(C)c1c(S(=O)(=O)N(C)C)c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],6.1,8.21
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cnc2ccccc2c1Sc1ccc(F)cc1,18600.0,4.73
CC(CCc1ccc(Sc2ccccc2)cc1)CC(=O)O,20000.0,4.7
CC(C)c1ccc(Sc2c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)cnc3ccccc23)cc1,12650.0,4.9
CC(C)c1sc(-c2ccccc2)c(-c2ccccc2F)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],233.0,6.63
CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)N(C)Cc1ccc(C)cc1)-c1ccc(F)cc1,37.0,7.43
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1ccc(C(F)(F)F)cc1.[Na+],1000.0,6.0
CO[C@H]1CC(=O)O[C@H](/C=C/c2c(C)cc(C)cc2-c2ccc(F)c(C)c2)C1,106.0,6.97
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CCCC[C@@H](O)CC([O-])=O)[C@@H]12,160.0,6.8
O=C1C[C@H](O)CC(CCc2c(Cl)cc(Cl)c3ccc(Cl)cc23)O1,32.0,7.49
Cn1nnnc1\C(\C=C\C(O)CC(O)CC([O-])=O)=C/c1ccc(F)cc1,210000.0,3.68
CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1)S(=O)(=O)Nc1ccc(cc1)S(N)(=O)=O,4.9,8.31
Cc1c(CCC(O)C[C@@H](O)CC([O-])=O)c(cn1-c1ccccc1)-c1ccc(F)cc1,35.0,7.46
COC(=O)C[C@H](O)C[C@H](O)/C=C/n1c(C(C)C)cc(-c2cccc(Br)c2)c1-c1ccc(F)cc1,0.5,9.3
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)CCCCC2.[Na+],3600.0,5.44
O[C@H](C[C@H](O)\C=C\c1c2CCCC(Cc3ccccc3Cl)c2nn1-c1ccc(F)cc1)CC([O-])=O,95.0,7.02
Cc1ccc(-c2ccc(F)cc2)n1-c1ccc([C@@H]2C[C@@H](O)CC(=O)O2)cc1,20000.0,4.7
COc1ccc(cc1)-c1c(nc(n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C(F)(F)F)-c1ccc(F)cc1,418.0,6.38
CCn1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(C)c1C(=O)NCc1ccc(cc1)C([O-])=O)-c1ccc(F)cc1,0.85,9.07
CC(C)c1nn(c(c1CC[C@H]1C[C@H](O)CC(=O)O1)-c1ccc(F)cc1)-c1ccccc1,35.0,7.46
Cc1cc(C)c(OCC(O)C[C@@H](O)CC(=O)[O-])c(C(c2ccc(F)cc2)C2CCCCC2)c1.[Na+],95.0,7.02
CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)C1CCCCC1,1.0,9.0
CC(C)=CC(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C21,27.3,7.56
CCn1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(C)c1C(=O)Nc1ccccc1)-c1ccc(F)cc1,2.8,8.55
CC(C)c1nc(c(-c2cc(C)c(F)c(C)c2)n1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1,30.0,7.52
CCOc1cccc(CN(C)C(=O)c2nn(c(OC[C@@H](O)C[C@@H](O)CC(O)=O)c2C(C)C)-c2ccc(F)cc2)c1,16.0,7.8
O[C@@H]1C[C@@H](CC[C@@H]2CCC[C@@H]3CCCC[C@H]23)OC(=O)C1,107000.0,3.97
O=C1C[C@H](O)CC(CCc2ccc(Cl)c3cc(Cl)ccc23)O1,7000.0,5.15
CC(C)c1nc(C(C)C)c(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(n1)-c1ccc(F)cc1,4.8,8.32
Cc1ccc(-c2ccc(-c3ccccc3)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,23000.0,4.64
CCC(C)C1CCCc2c1nn(c2\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1,3200.0,5.49
O[C@@H]1C[C@@H](CCc2c(Cl)cc(Cl)cc2OCc2ccc(F)cc2)OC(=O)C1,76.0,7.12
COc1ccc(COc2cc(Cl)cc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)cc1,2600.0,5.59
Cc1cc(C)c(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(c1)-c1ccc(F)cc1,13.0,7.89
CC(C)c1nc(N(c2ccnn2C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],2.2,8.66
CC(C)c1nn(c(c1CC[C@H]1C[C@H](O)CC(=O)O1)-c1ccc(F)cc1)-c1ccc(C)cc1,40.0,7.4
CC(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],7900.0,5.1
O[C@@H]1CC(CCc2c(Cl)cc(Cl)cc2OCc2ccccc2F)OC(=O)C1,150.0,6.82
CC(C)c1cc(c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1)-c1cccnc1,71.0,7.15
Cc1c(C)c(C(C)C)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c1-c1ccc(F)cc1,140.0,6.85
Cc1cccc(CNC(=O)c2nc(-c3ccc(F)cc3)n(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2C2CC2)c1.[Na+],7.2,8.14
Cc1cc(Cl)cc(C(c2ccc(F)cc2)c2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC(=O)[O-].[Na+],70.0,7.15
CC(C)c1nc2ccc(Cl)cc2c(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,25.0,7.6
C=C(C)CC(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C21,2.9,8.54
CCn1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(C)c1C(=O)NCc1cnc(C)cn1.[Na+],4.7,8.33
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2cccc3ccccc23)O1,4400.0,5.36
CC(C)c1cc(C(=O)C(F)(F)F)c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,800.0,6.1
Cc1ccc(CNC(=O)c2nc(-c3ccc(F)cc3)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c2C2CC2)cc1F,4.1,8.39
CC[C@H](C)C(=O)O[C@H]1C[C@@H](O)C=C2C=C[C@H](C)[C@H](CCC(O)C[C@@H](O)CC([O-])=O)[C@@H]12,4.2,8.38
CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)NCc1ccc(cc1)C(=O)N(C)C)-c1ccc(F)cc1,25.0,7.6
Cc1ccc(cc1)-c1c(nc(n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C(F)(F)F)-c1ccc(F)cc1,750.0,6.12
Cc1cc(-c2ccc(F)cc2)c(\C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C)n1,1000.0,6.0
O[C@@H]1CC(CCc2c(Cl)cc(Cl)cc2OCc2ccc(cc2)C(F)(F)F)OC(=O)C1,13000.0,4.89
COc1ccc(-c2sc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)cc1.[Na+],6.3,8.2
Cc1cccc(CN(C)C(=O)c2nn(-c3ccc(F)cc3)c(OC[C@@H](O)C[C@@H](O)CC(=O)O)c2C(C)C)c1,37.0,7.43
CC(C)c1c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(-c2ccc(F)cc2)c2cc(F)ccc2[n+]1[O-],79.0,7.1
CC(C)c1nc(N(C)c2ccn(C)n2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],2.5,8.6
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC([O-])=O)[C@@H]12,3.0,8.52
CC(C)c1c(S(=O)(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],9.0,8.05
CC(C)c1nc(C2CCCCC2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,4.0,8.4
O=C1C[C@H](O)C[C@@H](/C=C/c2cnc3cc(Sc4ccccc4)c(Sc4ccccc4)cc3c2Sc2ccccc2)O1,32550.0,4.49
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CCCC[C@@H](O)CC(=O)[O-])[C@H]21.[Na+],160.0,6.8
C[C@@H]1C[C@H](OC(C)=O)[C@@H]2[C@@H](CCC3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1,269.0,6.57
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1ccc(Cl)cc1,2500.0,5.6
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1ccco1,600.0,6.22
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(-c2ccc(F)cc2)nc(C(=O)NCc2ccc(F)cc2)c1C1CC1.[Na+],3.4,8.47
CC(C)c1c(S(=O)(=O)N2CCc3ccccc3C2)c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],8.4,8.08
CC(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1,7900.0,5.1
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C(=O)[C@@H]2CC[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12,34.0,7.47
CCC(CC)(c1cccc(F)c1)c1ccc(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1)C(C)C,92000.0,4.04
Cc1cc(C)cc(c1)-c1c(nc(n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C(F)(F)F)-c1ccc(F)cc1,38.0,7.42
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OC\C=C\c1ccccc1,1900.0,5.72
Cc1cc(-c2nc(C(F)(F)F)n(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)cc(C)c1F.[Na+],32.0,7.49
CC(C)c1cc(SC(C)(C)Sc2cc(-c3ccc(F)cc3)c(OCC(O)C[C@@H](O)CC(=O)[O-])c(C(C)C)c2)cc(-c2ccc(F)cc2)c1[O-].[Na+].[Na+],30.0,7.52
CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+],18.0,7.74
CC(C)c1sc(-c2ccccc2)c(-c2ccccc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],26.0,7.59
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2cc[n+]([O-])cc2)O1,117000.0,3.93
CCOC(=O)c1c(-c2ccc(C#N)cc2)c(-c2ccc(F)cc2)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c1C(C)C,280.0,6.55
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1ccccn1,1200.0,5.92
COc1ccc(CNC(=O)c2nn(-c3ccc(F)cc3)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2C(C)C)cc1.[Na+],2.8,8.55
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(C(F)(F)F)nc(-c2cccnc2)c1-c1ccc(F)cc1.[Na+],66.0,7.18
O=C1C[C@H](O)C[C@@H](CCc2ccc(Cl)cc2Cl)O1,15200.0,4.82
Cc1ccc(C(c2ccccc2)c2ccccc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,13000.0,4.89
O[C@H](CCn1c(nc(c1-c1cccs1)-c1ccc(F)cc1)C(F)(F)F)C[C@@H](O)CC([O-])=O,215.0,6.67
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(Oc2c(F)cc(F)cc2F)O1,1.0,9.0
CC(C)c1cc(cc(CC2CCCCC2)c1OCC(O)C[C@@H](O)CC([O-])=O)-c1ccccc1,400.0,6.4
CC(C)c1nc2ccccc2c(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,32.0,7.49
CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N(C)[C@@H](C)c1ccccc1)-c1ccc(F)cc1,45.0,7.35
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1ccc(cc1)C#N,2000.0,5.7
CC(C)c1nc2ccccc2c(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1,32.0,7.49
CCCCCCCCCCCCCCC(O)(CC(=O)O)CC(=O)O,130000.0,3.89
O[C@@H]1C[C@@H](CCc2c(Cl)cc(Cl)cc2COc2ccccc2)OC(=O)C1,390.0,6.41
CC(CC(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12)C(F)(F)F,3.5,8.46
O=C1C[C@H](O)C[C@@H](/C=C/c2cnc3c(F)c(F)c(F)cc3c2Sc2ccc(F)cc2)O1,7930.0,5.1
CCn1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(C)c1C(=O)NCc1cnc(C)cn1)-c1ccc(F)cc1,4.7,8.33
CC(C)c1ccc(-c2ccccc2F)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,3200.0,5.49
CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N1CCCCC1c1ccccc1)-c1ccc(F)cc1,6.1,8.21
CC(C)c1ccc(-c2ccccc2Cl)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,3200.0,5.49
CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)NCc1ccc(F)cc1)-c1ccc(F)cc1,3.8,8.42
CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1)S(=O)(=O)N(C)C,6.5,8.19
CC(C)n1nnnc1C(C=C=C[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1,130000.0,3.89
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H]1C[C@H](OCc2ccccc2)CC(OC(C)(C)C)O1,4.0,8.4
C=CCOC1C[C@H](OCc2ccccc2)C[C@@H](CCn2c(-c3ccc(F)cc3)c(-c3ccccc3)c(C(=O)Nc3ccccc3)c2C(C)C)O1,1.0,9.0
C/C=C/[C@@H]1C[C@H](OC(=O)C(C)(C)CC)[C@@H]2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=C[C@H]2C1,3.0,8.52
Cc1ccc(-c2ccccc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,1400.0,5.85
COc1ccc(CC2CCCc3c2nn(c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c2ccc(F)cc2)cc1,28.0,7.55
