canonical_smiles,standard_units,standard_value
Cc1ccc(-c2ccc3ccccc3c2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,16000.0
Cc1ccc(-c2ccccc2O)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,2500.0
CC(C)c1ccc(-c2cccc(F)c2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,1300.0
O=C1C[C@H](O)C[C@@H](/C=C/c2ccc(-c3ccccc3)cc2)O1,nM,55000.0
O=C1C[C@H](O)CC(CCc2c(Cl)cc(Cl)cc2OCC2CCCCC2)O1,nM,750.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2cccs2)O1,nM,600.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCCOc2ccc(Cl)cc2)O1,nM,1000.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2cccc3ccccc23)O1,nM,4400.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2ccccn2)O1,nM,1200.0
O=C1C[C@H](O)C[C@@H](/C=C/c2ccccc2Cl)O1,nM,7400.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(OCc3ccc(F)cc3)cc2Cl)O1,nM,670.0
Cc1ccc(-c2cccc(C(F)(F)F)c2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,1500.0
COc1cccc(-c2ccc(C)n2CC[C@@H]2C[C@@H](O)CC(=O)O2)c1,nM,2500.0
Cc1ccc(-c2ccc(F)cc2)n1CCC[C@@H]1C[C@@H](O)CC(=O)O1,nM,53000.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2ccc[n+]([O-])c2)O1,nM,122000.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2ccc(F)cc2)O1,nM,200.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2ccc(F)cc2F)O1,nM,200.0
O=C1C[C@H](O)C[C@@H](/C=C/c2ccc(Cl)cc2Cl)O1,nM,22000.0
COc1ccc(-c2ccc(C)n2CC[C@@H]2C[C@@H](O)CC(=O)O2)cc1,nM,12000.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCCC23CC4CC(CC(C4)C2)C3)O1,nM,3000.0
CCC(CC)c1ccc(C(CC)CC)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,100000.0
N#Cc1ccc(COc2cc(Cl)cc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)cc1,nM,2000.0
CCCCCOc1cc(Cl)cc(Cl)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,nM,1000.0
Cc1ccc(-c2ccc(Cl)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,10000.0
Cc1ccc(C2CCCCC2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,690.0
CCC(CC)c1ccc(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,20000.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2cccc(F)c2)O1,nM,580.0
Cc1ccc(-c2ccc(F)cc2)n1-c1ccc([C@@H]2C[C@@H](O)CC(=O)O2)cc1,nM,20000.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2Oc2ccccc2)O1,nM,1100.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2ccc(Cl)cc2)O1,nM,2500.0
COc1ccc(COc2cc(Cl)cc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)cc1,nM,2600.0
Cc1ccc(C(c2ccccc2)c2ccccc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,13000.0
CC(C)Oc1ccccc1-c1ccc(C(C)C)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,3200.0
Cc1ccc(-c2ccc(F)cc2)n1-c1cccc([C@@H]2C[C@@H](O)CC(=O)O2)c1,nM,24000.0
Cc1ccc(C2CC3C=CC2CC3)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,1300.0
Cc1ccc(-c2ccc(-c3ccccc3)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,23000.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(OCc3ccccc3)cc2Cl)O1,nM,450.0
CC(C)c1ccc(-c2ccc(F)cc2)n1CC(C)[C@@H]1C[C@@H](O)CC(=O)O1,nM,5000.0
COc1ccccc1-c1ccc(C)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,2100.0
CC(C)c1ccc(-c2ccccc2F)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,3200.0
O=C1C[C@H](O)C[C@@H](/C=C/c2ccc(Cl)c(Cl)c2)O1,nM,35000.0
CSCOc1cc(Cl)cc(Cl)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,nM,760.0
Cc1ccc(COc2cc(Cl)cc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)cc1,nM,4900.0
O=C1C[C@H](O)CC(CCc2c(Cl)cc(Cl)cc2OCc2cccc(F)c2)O1,nM,210.0
COc1ccc2ccccc2c1-c1ccc(C(C)C)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,9600.0
Cc1cc(C)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(-c2ccc(F)c(C)c2)c1,nM,10.0
O=C1C[C@H](O)C[C@@H](/C=C/c2ccc(OCc3ccc(F)cc3)c(Cl)c2Cl)O1,nM,17000.0
Cc1ccc(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C)c1,nM,29900.0
COCCOCOc1cc(Cl)cc(Cl)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,nM,11000.0
O=C1C[C@H](O)CC(CCc2c(O)cc(Cl)cc2Cl)O1,nM,7900.0
Cc1ccc(-c2ccc(F)cc2)n1-c1ccccc1[C@@H]1C[C@@H](O)CC(=O)O1,nM,100000.0
O=C1C[C@H](O)C[C@@H](CCn2c(-c3ccc(F)cc3)ccc2C2CCC2)O1,nM,17000.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cccc2Cl)O1,nM,7900.0
CC(C)c1ccc(-c2ccccc2Cl)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,3200.0
CC(CCOc1cc(Cl)cc(Cl)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1)CC(C)(C)C,nM,38000.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCCCc2ccccc2)O1,nM,1450.0
Cc1ccc(C)c(-c2ccc(C(C)C)n2CC[C@@H]2C[C@@H](O)CC(=O)O2)c1,nM,12000.0
O=C1C[C@H](O)CC(CCc2c(Cl)cc(Cl)cc2OCc2ccccc2F)O1,nM,150.0
CC(C)c1ccc(-c2ccc(F)cc2F)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,1600.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OC(c2ccccc2)c2ccccc2)O1,nM,6300.0
COc1ccccc1-c1ccc(C(C)C)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,2200.0
COc1cccc(OC)c1-c1ccc(C(C)C)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,19000.0
O=C1C[C@H](O)C[C@@H](/C=C/c2ccccc2-c2ccccc2)O1,nM,3000.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2ccccc2)O1,nM,430.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2ccco2)O1,nM,600.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2ccccc2F)O1,nM,510.0
Cc1ccc(C2CC3C=CC2C3)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,1400.0
O=C1C[C@H](O)C[C@@H](CCn2c(-c3ccc(F)cc3)ccc2C(F)(F)F)O1,nM,250.0
CC(C)c1nc2ccc(Cl)cc2c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,480.0
CC(C)c1nn(-c2ccccn2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,10.0
CC(C)c1nn(-c2cnccn2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,6.6
Cc1cc(-c2ccc(F)cc2)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)n1.[Na+],nM,7.7
CC[C@H](C)C(=O)OCc1ccccc1CCC(=O)C[C@@H](O)CC(=O)O,nM,320000.0
Cc1cc(-c2ccc(F)cc2)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)[n+]1[O-].[Na+],nM,9.4
CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CCC(O)C[C@@H](O)CC(=O)O)C21,nM,13.0
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C)[C@H](CCC(O)C[C@@H](O)CC(=O)O)C12,nM,1.6
CC[C@H](C)C(=O)O[C@H]1C[C@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,nM,13.0
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C)[C@H](CCC(=O)C[C@@H](O)CC(=O)O)C12,nM,1.0
CC(C)c1c(Br)c(Br)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,26.0
O=C(O)CC(O)CC(O)CCc1ccccc1,nM,600000.0
CC(C)c1nn(-c2ccccc2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,7.2
CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CCC(=O)C[C@@H](O)CC(=O)O)C21,nM,32.0
Cc1cc(C)c(OC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C2CCCCCC2)c1.[Na+],nM,141.0
CC(C)c1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,2.0
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,7.5
O=C(O)C[C@H](O)CC(=O)CCc1ccccc1,nM,1.3
Cc1ccc(-c2ccc(C(C)C)c(OC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)cc1.[Na+],nM,100.0
CC(C)c1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1-c1ccccc1.[Na+],nM,7.0
CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+],nM,18.0
CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C1CCCCC1.[Na+],nM,9.0
Cc1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+],nM,330.0
CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1-c1ccccc1.[Na+],nM,3.0
Cc1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(C)n1-c1ccccc1.[Na+],nM,250.0
Cc1c(-c2ccc(F)cc2)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)n1-c1ccccc1.[Na+],nM,6.0
Cc1c(/C=C/[C@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1-c1ccccc1.[Na+],nM,65.0
Cc1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+],nM,100.0
CC(C)c1c(/C=C/[C@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C1CCCCC1.[Na+],nM,69.0
Cc1c(-c2ccc(F)cc2)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)n1-c1ccccc1.[Na+],nM,5.0
CC(C)c1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+],nM,117.0
Cc1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(C)n1-c1ccccc1.[Na+],nM,70.0
CC(C)c1c(CCC(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1-c1ccccc1.[Na+],nM,6.0
C/C=C\[C@@H]1C[C@H](OC(=O)C(C)(C)CCC)[C@@H]2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=C[C@H]2C1,nM,15.0
CC/C=C/[C@@H]1C[C@H](OC(=O)C(C)(C)CC)[C@@H]2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=C[C@H]2C1,nM,15.0
C[C@]1(O)CC(=O)O[C@H](/C=C/c2ccc(Cl)cc2Cl)C1,nM,20000.0
O=C1C[C@H](O)CC(CCc2cccc3ccccc23)O1,nM,129000.0
C/C=C/[C@@H]1C[C@H](OC(=O)C(C)(C)CC)[C@@H]2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=C[C@H]2C1,nM,3.0
CCC/C(C)=C/[C@@H]1C[C@H](OC(=O)[C@@H](C)CC)[C@@H]2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=C[C@H]2C1,nM,20.0
O=C1C[C@H](O)C[C@@H](C=C2c3ccccc3-c3ccccc32)O1,nM,890.0
CC[C@H](C)C(=O)O[C@H]1C[C@@H](/C=C/Cc2ccccc2)C[C@@H]2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,nM,7.0
C/C=C/[C@@H]1C[C@H](OC(=O)C(C)(C)CC)[C@@H]2[C@@H](/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=C[C@H]2C1,nM,100.0
CCC(C)(C)C(=O)O[C@H]1C[C@@H](/C=C/C(C)C)C[C@@H]2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,nM,1200.0
O=C1C[C@H](O)C[C@@H](CCc2ccc(Cl)cc2Cl)O1,nM,15200.0
O=C1C[C@H](O)C[C@@H](C=C2c3ccccc3C=Cc3ccccc32)O1,nM,1600.0
CCC(C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=CC[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,nM,1500.0
O=C1C[C@H](O)CC(CC[C@@H]2CC[C@H]3CCCC[C@@H]3C2)O1,nM,90000.0
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,nM,30.0
CCC/C(C)=C/[C@@H]1C[C@H](OC(=O)C(C)(C)CC)[C@@H]2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=C[C@H]2C1,nM,8.0
C[C@]1(O)CC(=O)O[C@H](CCc2ccc(Cl)cc2Cl)C1,nM,19800.0
O=C1C[C@H](O)C[C@@H](/C=C/c2cccc3ccc4ccccc4c23)O1,nM,1900.0
CCC(C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C)[C@H](CCC(=O)C[C@@H](O)CC(=O)OC)[C@@H]12,nM,80.0
C/C=C\[C@@H]1C[C@H](OC(C)=O)[C@@H]2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=C[C@H]2C1,nM,1500.0
C/C=C/[C@@H]1C[C@H](OC(=O)[C@@H](C)CC)[C@@H]2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=C[C@H]2C1,nM,4.0
CCC(C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C(C)C)[C@H](CCC(=O)C[C@@H](O)CC(=O)OC)[C@@H]12,nM,6000.0
CCC(C)(C)C(=O)O[C@H]1C[C@@H](/C=C/Cc2ccccc2)C[C@@H]2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,nM,20.0
C/C=C/[C@]1(C)C[C@H](OC(=O)C(C)(C)CC)[C@@H]2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=C[C@H]2C1,nM,5.0
O=C1C[C@H](O)C[C@@H](CC[C@@H]2CCC[C@@H]3CCCC[C@@H]32)O1,nM,107000.0
CCC(C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C(C)C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,nM,1000.0
C/C=C\[C@@H]1C[C@H](OC(=O)[C@@H](C)CC)[C@@H]2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=C[C@H]2C1,nM,30.0
C[C@H]1C=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@H]2[C@@H](OCc2ccccc2)C1,nM,27.0
C=C(C)CO[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@H]21,nM,360.0
C=CCC(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@H]21,nM,2.9
C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]2[C@@H](OC(=O)Cc2ccccc2)C1,nM,19.0
CO[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@H]21,nM,2810.0
C[C@H]1C=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@H]2[C@@H](OCc2ccc(F)cc2)C1,nM,4.7
C=CCO[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@H]21,nM,370.0
C[C@H]1C=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@H]2[C@@H](OCc2ccc(Cl)cc2)C1,nM,170.0
CC(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@H]21,nM,269.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2-c2ccc(F)cc2)O1,nM,5.0
CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@@]32C)[C@@H]2CCC(CC[C@H]3C[C@@H](O)CC(=O)O3)[C@@]12C,nM,1000.0
Cc1cc(-c2cccc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)ccc1F,nM,30.0
O=C1C[C@H](O)CC(CCc2c(Cl)cc(Cl)cc2-c2ccccc2)O1,nM,100.0
Cc1ccc(C)c(-c2ccc(Cl)c(Cl)c2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,nM,13.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2CCc2ccccc2)O1,nM,430.0
Cc1cc(C)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(-c2ccc(F)c(CO)c2)c1,nM,49.0
Cc1cc(C)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(/C=C/c2ccc(Cl)cc2)c1,nM,630.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2-c2cc(Cl)cc(Cl)c2)O1,nM,37.0
Cc1cc(C)cc(-c2cc(Cl)cc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c1,nM,13.0
CCc1cccc(-c2cc(Cl)cc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c1,nM,44.0
Cc1cc(C)cc(-c2cc(C)cc(C)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c1,nM,15.0
CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@@]32C)[C@@H]2CCC(CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@]12C,nM,200.0
Cc1cc(C)c(CCC2C[C@@H](O)CC(=O)O2)c(-c2ccc(F)c(C)c2)c1,nM,22.0
CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@@]32C)[C@@H]2CCC([C@H](C)C[C@@H]3C[C@@H](O)CC(=O)O3)[C@@]12C,nM,650.0
O=C1C[C@H](O)CC(CCc2c(Cl)cc(Cl)cc2Cc2ccccc2)O1,nM,530.0
COc1ccc(-c2cc(Cl)cc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)cc1,nM,470.0
Cc1cc(-c2cc(Cl)cc(C)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)ccc1F,nM,6.0
CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@@]32C)[C@@H]2CCC([C@H](C)C[C@H]3C[C@@H](O)CC(=O)O3)[C@@]12C,nM,7000.0
COc1cccc(-c2cc(Cl)cc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c1,nM,50.0
Cc1ccccc1-c1cc(Cl)cc(Cl)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,nM,370.0
O=C1C[C@H](O)CC(CCc2ccccc2-c2ccccc2)O1,nM,44000.0
Cc1cc(Cl)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(-c2ccc(F)c(C)c2)c1,nM,13.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2-c2ccc(Cl)cc2)O1,nM,36.0
Cc1cc(C)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(-c2ccc(Cl)c(Cl)c2)c1,nM,8.0
Cc1cc(F)ccc1-c1cc(Cl)cc(Cl)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,nM,36.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2-c2ccccc2)O1,nM,80.0
Cc1cc(C)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(-c2ccc(F)cc2)c1,nM,13.0
Cc1cc(-c2cc(Cl)cc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)ccc1F,nM,29.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2-c2ccc(Cl)c(Cl)c2)O1,nM,25.0
CO[C@H]1CC(=O)O[C@H](/C=C/c2c(C)cc(C)cc2-c2ccc(F)c(C)c2)C1,nM,106.0
Cc1cccc(-c2cc(Cl)cc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c1,nM,16.0
Cc1ccc(-c2cc(Cl)cc(Cl)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)cc1,nM,190.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2-c2cccc(F)c2)O1,nM,70.0
O=C1C[C@H](O)C[C@@H](/C=C/c2c(F)cc(F)cc2-c2ccc(F)cc2)O1,nM,860.0
Cc1cc(C)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(-c2cc(C)c(F)c(C)c2)c1,nM,10.0
CCCCCCCCCCCCCCCCCC(O)(CC(=O)O)CC(=O)O,nM,100000.0
CCCCCCCCCCCCCCCC1(O)CCOC(O)C1,nM,1000000.0
CCCCCCCCCCCCCCCCCCCC(O)(CC(=O)O)CC(=O)O,nM,350000.0
CCCCCCCCCCCCCCCC(O)(CC(=O)O)CC(=O)O,nM,50000.0
CCCCCCCCCCCCCCC(O)(CC(=O)O)CC(=O)O,nM,130000.0
CCCCCCCCCCC(O)(CC(=O)O)CC(=O)O,nM,100000.0
CCCCCCCCCCCCCCCC(O)(CC(=O)O)CC(=O)OCC,nM,900000.0
CCCCCCCCCCCCCC(O)(CC(=O)O)CC(=O)O,nM,50000.0
CCCCCCCCCCCCCCCCC(O)(CC(=O)O)CC(=O)O,nM,100000.0
CCCCCCCCCCCCCCCC1(O)CCOC(=O)C1,nM,750000.0
CCCCCCCCCCCCCCCC1(O)CC(=O)OC(=O)C1,nM,250000.0
CCCCCCCCCCCCCCCC(O)(CC(=O)OCC)CC(=O)OCC,nM,1000000.0
Cc1cc(Cl)cc(CC2CCCCC2)c1OCC(O)C[C@@H](O)CC(=O)[O-].[Na+],nM,75.0
O=C([O-])C[C@H](O)CC(O)COc1c(CCCOc2ccc(F)cc2)cc(Cl)cc1C1CCCC1.[Na+],nM,1000.0
Cc1cc(C)c(OCC2C[C@@H](O)CC(=O)O2)c(C(Cl)C2CCCCC2)c1,nM,1000.0
CC(C)c1c(OCC(O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)nc2ccccc12.[Na+],nM,50.0
CC(C)c1cc(-c2ccc(F)cc2)cc(-c2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC(=O)[O-].[Na+],nM,17.0
CC(C)c1cc(Sc2ccc(F)cc2)cc(-c2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC(=O)[O-].[Na+],nM,6.0
Cc1c(CCC(O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1-c1ccccc1.[Na+],nM,35.0
Cc1c(OCC(O)C[C@@H](O)CC(=O)[O-])c(C(c2ccc(F)cc2)c2ccc(F)cc2)cc2ccccc12.[Na+],nM,900.0
Cc1cc(-c2ccccc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,38.0
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(Cl)cc(Cl)cc1-c1ccc(F)cc1.[Na+],nM,4.5
Cc1cc(C)c(OCC(O)C[C@@H](O)CC(=O)[O-])c(CC2CCCCC2)c1.[Na+],nM,100.0
COc1ccc(C(c2ccc(F)cc2)c2cc(C)cc(C)c2OCC(O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],nM,100.0
Cc1cccc(CCCOc2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC(=O)[O-].[Na+],nM,250.0
Cc1cc(C)c(OCC(O)C[C@@H](O)CC(=O)[O-])c(C(C)c2ccc(F)cc2)c1.[Na+],nM,160.0
CC(C)c1c(CCC(O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1-c1ccccc1.[Na+],nM,3.0
O=C([O-])C[C@H](O)CC(O)COc1c(Cl)cc(Cl)cc1-c1ccccc1.[Na+],nM,190.0
